x-axis,1,2,3
second,Volt,Volt,Volt
+136.300E-06,-78.894472E-03,-77.386934E-03,-163.316584E-03
+138.400E-06,-61.306532E-03,-53.266331E-03,+0.0E+00
+140.500E-06,-64.321607E-03,-64.321607E-03,-62.814071E-03
+142.600E-06,-50.753768E-03,-50.753768E-03,+0.0E+00
+144.700E-06,-38.693467E-03,-46.733668E-03,-163.316584E-03
+146.800E-06,-40.201005E-03,-48.241206E-03,-125.628142E-03
+148.900E-06,-24.120603E-03,-49.246231E-03,-364.321611E-03
+151.000E-06,-32.160804E-03,-48.241206E-03,-201.005027E-03
+153.100E-06,-9.045226E-03,-32.160804E-03,-201.005027E-03
+155.200E-06,-10.552764E-03,-26.633166E-03,-125.628142E-03
+157.300E-06,-1.005025E-03,-24.120603E-03,-25.125628E-03
+159.400E-06,-5.025126E-03,-10.552764E-03,-125.628142E-03
+161.500E-06,-2.512563E-03,-9.045226E-03,-201.005027E-03
+163.600E-06,+8.040201E-03,-5.025126E-03,-62.814071E-03
+165.700E-06,+16.080402E-03,+9.045226E-03,-201.005027E-03
+167.800E-06,+24.120603E-03,+5.025126E-03,-62.814071E-03
+169.900E-06,+14.572864E-03,+9.045226E-03,-25.125628E-03
+172.000E-06,+21.105527E-03,+16.080402E-03,-326.633168E-03
+174.100E-06,+16.080402E-03,+16.080402E-03,-201.005027E-03
+176.200E-06,+34.673366E-03,+24.120603E-03,-125.628142E-03
+178.300E-06,+40.201005E-03,+24.120603E-03,+0.0E+00
+180.400E-06,+32.160804E-03,+40.201005E-03,-201.005027E-03
+182.500E-06,+25.125628E-03,+24.120603E-03,-201.005027E-03
+184.600E-06,+40.201005E-03,+24.120603E-03,-201.005027E-03
+186.700E-06,+32.160804E-03,+33.165829E-03,-25.125628E-03
+188.800E-06,+32.160804E-03,+24.120603E-03,-62.814071E-03
+190.900E-06,+48.241206E-03,+30.653266E-03,-25.125628E-03
+193.000E-06,+34.673366E-03,+24.120603E-03,-326.633168E-03
+195.100E-06,+33.165829E-03,+32.160804E-03,-226.130655E-03
+197.200E-06,+24.120603E-03,+24.120603E-03,-62.814071E-03
+199.300E-06,+17.085427E-03,+40.201005E-03,-163.316584E-03
+201.400E-06,+24.120603E-03,+32.160804E-03,-201.005027E-03
+203.500E-06,+8.040201E-03,+33.165829E-03,-201.005027E-03
+205.600E-06,+16.080402E-03,+32.160804E-03,-62.814071E-03
+207.700E-06,+0.0E+00,+16.080402E-03,-201.005027E-03
+209.800E-06,+8.040201E-03,+26.633166E-03,-263.819098E-03
+211.900E-06,-6.532663E-03,+32.160804E-03,-201.005027E-03
+214.000E-06,+13.065326E-03,+16.080402E-03,-326.633168E-03
+216.100E-06,+0.0E+00,+16.080402E-03,-25.125628E-03
+218.200E-06,+0.0E+00,+24.120603E-03,-62.814071E-03
+220.300E-06,-1.005025E-03,+24.120603E-03,-201.005027E-03
+222.400E-06,-16.080402E-03,+21.105527E-03,-263.819098E-03
+224.500E-06,-16.080402E-03,+14.572864E-03,-201.005027E-03
+226.600E-06,-16.080402E-03,+8.040201E-03,-62.814071E-03
+228.700E-06,-22.613065E-03,-8.040201E-03,-201.005027E-03
+230.800E-06,-50.753768E-03,-8.040201E-03,+0.0E+00
+232.900E-06,-16.080402E-03,+16.080402E-03,-25.125628E-03
+235.000E-06,-24.120603E-03,+8.040201E-03,-125.628142E-03
+237.100E-06,-32.160804E-03,+1.005025E-03,-364.321611E-03
+239.200E-06,-18.592965E-03,-8.040201E-03,-125.628142E-03
+241.300E-06,-17.085427E-03,-25.125628E-03,-201.005027E-03
+243.400E-06,-26.633166E-03,-18.592965E-03,-62.814071E-03
+245.500E-06,-25.125628E-03,-24.120603E-03,-201.005027E-03
+247.600E-06,-32.160804E-03,-16.080402E-03,-201.005027E-03
+249.700E-06,-38.693467E-03,-16.080402E-03,-163.316584E-03
+251.800E-06,-34.673366E-03,-24.120603E-03,+0.0E+00
+253.900E-06,-38.693467E-03,-17.085427E-03,-201.005027E-03
+256.000E-06,-40.201005E-03,-37.185929E-03,-125.628142E-03
+258.100E-06,-24.120603E-03,-41.206030E-03,-201.005027E-03
+260.200E-06,-29.145728E-03,-32.160804E-03,-326.633168E-03
+262.300E-06,-38.693467E-03,-32.160804E-03,-201.005027E-03
+264.400E-06,-24.120603E-03,-32.160804E-03,-263.819098E-03
+266.500E-06,-24.120603E-03,-38.693467E-03,-163.316584E-03
+268.600E-06,-29.145728E-03,-32.160804E-03,-201.005027E-03
+270.700E-06,-8.040201E-03,-30.653266E-03,-163.316584E-03
+272.800E-06,-40.201005E-03,-26.633166E-03,-201.005027E-03
+274.900E-06,-32.160804E-03,-40.201005E-03,-25.125628E-03
+277.000E-06,-32.160804E-03,-29.145728E-03,-201.005027E-03
+279.100E-06,-9.045226E-03,-22.613065E-03,-163.316584E-03
+281.200E-06,-10.552764E-03,-32.160804E-03,-125.628142E-03
+283.300E-06,-8.040201E-03,-40.201005E-03,+0.0E+00
+285.400E-06,-16.080402E-03,-40.201005E-03,-201.005027E-03
+287.500E-06,-8.040201E-03,-33.165829E-03,+0.0E+00
+289.600E-06,-16.080402E-03,-24.120603E-03,-201.005027E-03
+291.700E-06,-9.045226E-03,-30.653266E-03,-326.633168E-03
+293.800E-06,-18.592965E-03,-34.673366E-03,-201.005027E-03
+295.900E-06,-8.040201E-03,-22.613065E-03,-226.130655E-03
+298.000E-06,-18.592965E-03,-13.065326E-03,-62.814071E-03
+300.100E-06,-14.572864E-03,-30.653266E-03,-364.321611E-03
+302.200E-06,+5.025126E-03,+2.512563E-03,-62.814071E-03
+304.300E-06,-16.080402E-03,-8.040201E-03,-25.125628E-03
+306.400E-06,-16.080402E-03,-10.552764E-03,-326.633168E-03
+308.500E-06,-1.005025E-03,+1.005025E-03,-25.125628E-03
+310.600E-06,-10.552764E-03,+8.040201E-03,-263.819098E-03
+312.700E-06,-16.080402E-03,-5.025126E-03,-163.316584E-03
+314.800E-06,-13.065326E-03,+0.0E+00,-201.005027E-03
+316.900E-06,-16.080402E-03,+0.0E+00,-201.005027E-03
+319.000E-06,-5.025126E-03,+13.065326E-03,-201.005027E-03
+321.100E-06,-9.045226E-03,+8.040201E-03,-226.130655E-03
+323.200E-06,-16.080402E-03,+24.120603E-03,+0.0E+00
+325.300E-06,+16.080402E-03,+8.040201E-03,-163.316584E-03
+327.400E-06,-2.512563E-03,+13.065326E-03,-201.005027E-03
+329.500E-06,+0.0E+00,+16.080402E-03,-364.321611E-03
+331.600E-06,-8.040201E-03,+8.040201E-03,-62.814071E-03
+333.700E-06,-1.005025E-03,+24.120603E-03,-201.005027E-03
+335.800E-06,+0.0E+00,+32.160804E-03,-125.628142E-03
+337.900E-06,-8.040201E-03,+2.512563E-03,-25.125628E-03
+340.000E-06,+5.025126E-03,+16.080402E-03,-62.814071E-03
+342.100E-06,-6.532663E-03,+17.085427E-03,-25.125628E-03
+344.200E-06,-2.512563E-03,+18.592965E-03,-201.005027E-03
+346.300E-06,-22.613065E-03,+32.160804E-03,-25.125628E-03
+348.400E-06,+0.0E+00,+21.105527E-03,-62.814071E-03
+350.500E-06,+6.532663E-03,+24.120603E-03,-25.125628E-03
+352.600E-06,-5.025126E-03,+2.512563E-03,-201.005027E-03
+354.700E-06,-1.005025E-03,+16.080402E-03,-201.005027E-03
+356.800E-06,-10.552764E-03,+10.552764E-03,-201.005027E-03
+358.900E-06,-9.045226E-03,+16.080402E-03,-163.316584E-03
+361.000E-06,-10.552764E-03,+0.0E+00,-62.814071E-03
+363.100E-06,-16.080402E-03,+0.0E+00,+0.0E+00
+365.200E-06,-16.080402E-03,+5.025126E-03,+0.0E+00
+367.300E-06,-8.040201E-03,+8.040201E-03,-201.005027E-03
+369.400E-06,-16.080402E-03,-8.040201E-03,-125.628142E-03
+371.500E-06,-17.085427E-03,+6.532663E-03,-25.125628E-03
+373.600E-06,-5.025126E-03,+0.0E+00,-201.005027E-03
+375.700E-06,-13.065326E-03,+0.0E+00,-163.316584E-03
+377.800E-06,-16.080402E-03,-8.040201E-03,-125.628142E-03
+379.900E-06,-14.572864E-03,-8.040201E-03,-25.125628E-03
+382.000E-06,-8.040201E-03,-2.512563E-03,-263.819098E-03
+384.100E-06,-30.653266E-03,-13.065326E-03,-201.005027E-03
+386.200E-06,-10.552764E-03,-2.512563E-03,-62.814071E-03
+388.300E-06,-8.040201E-03,-14.572864E-03,-25.125628E-03
+390.400E-06,-18.592965E-03,-8.040201E-03,+0.0E+00
+392.500E-06,+0.0E+00,-8.040201E-03,-163.316584E-03
+394.600E-06,-24.120603E-03,-24.120603E-03,-201.005027E-03
+396.700E-06,-16.080402E-03,-8.040201E-03,-201.005027E-03
+398.800E-06,-16.080402E-03,-24.120603E-03,+0.0E+00
+400.900E-06,-9.045226E-03,-32.160804E-03,-201.005027E-03
+403.000E-06,-18.592965E-03,-26.633166E-03,-326.633168E-03
+405.100E-06,-16.080402E-03,-24.120603E-03,-201.005027E-03
+407.200E-06,-32.160804E-03,-26.633166E-03,-326.633168E-03
+409.300E-06,-8.040201E-03,-17.085427E-03,-201.005027E-03
